Renewable,Type of Source,Year,اشتراک,امور,اشتراک برق,Basin,Shahrestan,Section,id,MA_XUTM,MA_YUTM,عمق چاه,دبي,ساعت کارکرد,اضافه کسربرداشت,تخليه مترمکعب,نوع چاه,Type of use,نيرو محرکه,وضعيت چاه,Value,کنتور هوشمند
تجدید پذیر,زیرزمینی,1402-03,525791,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,83,702095,4026624,5,1,800,0,2880,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00288,ندارد
تجدید پذیر,زیرزمینی,1402-03,525792,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,84,702110,4026712,10,1.5,800,0,4320,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00432,ندارد
تجدید پذیر,زیرزمینی,1402-03,525793,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,85,702116,4026695,4,0.3,800,0,864,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.000864,ندارد
تجدید پذیر,زیرزمینی,1402-03,525825,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,86,714068,4011272,5,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,525852,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,87,718713,4035353,130,0.5,4256,0,7661,عميق,شرب,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,525890,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,88,718815,4026038,40,0.5,4256,0,7661,نيمه عميق,شرب,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,525895,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,89,712941,4020681,15,0.5,4256,0,7661,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,525902,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,90,715798,4021050,12,0.9,4256,0,13789,نيمه عميق,شرب,ديزلي,غيرمجاز,0.013789,ندارد
تجدید پذیر,زیرزمینی,1402-03,525903,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,91,715810,4021081,12,0.5,4256,0,7661,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,525904,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,92,717722,4034929,90,1,4256,0,15322,عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,525912,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,93,716094,4021468,12,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,525913,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,94,716146,4021452,15,1.5,4256,0,22982,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.022982,ندارد
تجدید پذیر,زیرزمینی,1402-03,525916,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,95,701706,4026210,7,1,800,0,2880,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00288,ندارد
تجدید پذیر,زیرزمینی,1402-03,525917,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,96,701286,4025784,8,0.5,800,0,1440,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00144,ندارد
تجدید پذیر,زیرزمینی,1402-03,525919,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,97,701501,4026051,5,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,525920,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,98,701320,4025838,8,1,800,0,2880,نيمه عميق,شرب,ديزلي,غيرمجاز,0.00288,ندارد
تجدید پذیر,زیرزمینی,1402-03,525922,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,99,701500,4026030,8,1,800,0,2880,نيمه عميق,شرب,ديزلي,غيرمجاز,0.00288,ندارد
تجدید پذیر,زیرزمینی,1402-03,525924,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,100,701809,4026285,6,1,800,0,2880,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00288,ندارد
تجدید پذیر,زیرزمینی,1402-03,525926,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,101,701417,4025977,2,1.5,800,0,4320,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.00432,ندارد
تجدید پذیر,زیرزمینی,1402-03,525719,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,102,707132,4029595,15,2.5,4256,0,38304,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.038304,ندارد
تجدید پذیر,زیرزمینی,1402-03,525722,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,103,716264,4021623,20,1.5,4256,0,22982,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.022982,ندارد
تجدید پذیر,زیرزمینی,1402-03,525928,آب مشهد,0,مشهد - چناران,طرقبه-شانديز,4,104,711077,4032424,2,2,4256,0,30643,نيمه عميق,خدمات,ديزلي,غيرمجاز,0.030643,ندارد
تجدید پذیر,زیرزمینی,1402-03,519117,آب مشهد,0,مشهد - چناران,مشهد,4,105,727306,4047787,60,17,4256,0,260467,عميق,كشاورزي,ديزلي,غيرمجاز,0.260467,ندارد
تجدید پذیر,زیرزمینی,1402-03,519137,آب مشهد,0,مشهد - چناران,مشهد,4,106,720057,4045625,31,6,4256,0,91930,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.09193,ندارد
تجدید پذیر,زیرزمینی,1402-03,519139,آب مشهد,0,مشهد - چناران,مشهد,4,107,717317,4046943,24,3,4256,0,45965,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.045965,ندارد
تجدید پذیر,زیرزمینی,1402-03,519192,آب مشهد,0,مشهد - چناران,مشهد,4,108,715191,4058714,60,3.5,4256,0,53626,عميق,كشاورزي,ديزلي,غيرمجاز,0.053626,ندارد
